#######################
##
## License goes here
##
#######################
a	ɑ
authentesch	ɑʊtəntəʃ
autistesch	ɑʊtistəʃ
auto	ɑʊtoː
autobiografie	ɑʊtoːbiogʀafiː
autobiographie	ɑʊtoːbiogʀafiː
autobunn	ɑʊtoːbun
autobunnssortie	ɑʊtoːbunsɔʀtiː
autocollant	oːtoːkolɑ̃ː
autofuerer	ɑʊtoːfuəʀɐ
automobilistinne	ɑʊtoːmobilistinə
autonomie	ɑʊtoːnomiː
autorinne	ɑʊtoːʀinə
autoscoureur	ɑʊtoːskuːʀœːʀ
autoscourse	ɑʊtoːskuʀs
auxerrois	oːksæʀwɑ
avancen	ɑvɑ̃ːsən
avantage	ɑvɑ̃ːtaːʃ
avenue	ɑvənyː
avenuen	ɑvənyːən
averstan	ɑfɐʃtaːn
avertéieren	ɑvæʀtɜɪəʀən
avertéiers	ɑvæʀtɜɪɐs
avion	ɑviɑ̃ː
avis	ɑviː
avise	ɑviːə
avisen	ɑviːən
avortéieren	ɑvɔʀtɜɪəʀən
awanderinne	ɑvɑndəʀinə
awar	ɑvaːʀ
aweeche	ɑveːɕə
aweechen	ɑveːɕən
aweie	ɑvɑɪə
aweien	ɑvɑɪən
awëllege	ɑvələʑə
awëllegen	ɑvələʑən
awëllegung	ɑvələʑuŋ
awer	aːvɐ
awerglaf	aːvɐglaːf
awuer	ɑvuːɐ
awunner	ɑvunɐ
awunnerinne	ɑvunəʀinə
baach	baːχ
baang	baːŋ
baarbes	baːʀbəs
baarf	baːɐf
baarmhäerzegkeet	baːɐmhɛːɐtsəɕkeːt
baart	baːʀt
baartbiischt	baːʀtbiːʃt
baasch	baːʃ
babbele	bɑbələ
babbelen	bɑbələn
babysitterinne	bɑbiːsitəʀinə
bäcker	bækɐ
bäckerei	bækəʀɑɪ
bäckesch	bækəʃ
bad	baːt
badgë	bædʒə
badge	bætʃ
badgen	bædʒən
badminton	bætmintən
bäerdref	bɛːɐdʀəf
baffe	bɑfə
baffen	bɑfən
bagage	bɑgaːʃ
bagatell	bɑgatæl
bagger	bɑgɐ
bahamas	bɑhaːmas
bäichelche	bæːɪɕəlɕə
bäichelchen	bæːɪɕəlɕən
baichelcher	bɑɪɕəlɕɐ
bäiginn	bæːɪgin
bäigoe	bæːɪgoːə
bäigoen	bæːɪgoːən
bäilafe	bæːɪlaːfə
bäilafen	bæːɪlaːfən
bäilagen	bæːɪlaːʁən
bäileed	bæːɪleːt
bailen	bɑɪjən
bäiluegt	bæːɪluəɕt
bäisse	bæːɪsə
baisse	bæs
bäissen	bæːɪsən
bäiwunne	bæːɪvunə
bäiwunnen	bæːɪvunən
bak	baːk
bake	baːkə
baken	baːkən
bakzant	baːktsɑnt
bal	baːl
balkankrich	bɑlkaːnkʀiɕ
balkon	bɑlkɑ̃ː
ball	bɑl
ballet	bɑleː
ballon	bɑlɑ̃ː
ballotage	bɑlotaːʃ
balucke	bɑlukə
balucken	bɑlukən
bam	baːm
bampele	bɑmpələ
bampelen	bɑmpələn
bamstamm	baːmʃtɑm
banal	bɑnaːl
banane	bɑnɑn
band	bɑnt
bandage	bɑndaːʃ
banditinne	bɑnditinə
bänk	bæŋk
bank	bɑŋk
bänke	bæŋkə
banke	bɑŋkə
bänken	bæŋkən
banken	bɑŋkən
bankerinne	bæŋkəʀinə
banne	bɑnə
bannen	bɑnən
bannendes	bɑnəndəs
bannenhaff	bɑnənhɑf
bänner	bænɐ
bare	baːʀə
baroninne	bɑʀoːninə
barpianist	baːʀpjɑnist
barrage	bɑʀaːʃ
barrière	bɑʀiɛːʀ
bascht	bɑʃt
baschte	bɑʃtə
baschten	bɑʃtən
basis	baːzis
basketspillerinne	bɑskætʃpiləʀinə
baskett	bɑskæt
bass	bɑs
bassistinne	bɑsistinə
bastele	bɑstələ
bastelen	bɑstələn
bastlerinne	bɑstləʀinə
bataklang	bɑtɑklɑŋ
batter	bɑtɐ
batterie	bɑtəʀiː
bätz	bæts
batz	bɑts
bau	bæːʊ
bauaarbechterinne	bæːʊaːɐbəɕtəʀinə
bauch	bæːʊχ
baue	bɑʊə
bauen	bɑʊən
bauer	bɑʊɐ
bauerenhaff	bɑʊəʀənhɑf
baufälleg	bæːʊfæləɕ
baukaste	bɑʊkɑstə
baukasten	bɑʊkɑstən
baupse	bɑʊpsə
baupsen	bɑʊpsən
bauscheg	bæːʊʃəɕ
bausse	bæːʊsə
baussen	bæːʊsən
bd	beːdeː
beaaften	bəaːftən
beaarbecht	bəaːɐbəɕt
beaarbechte	bəaːɐbəɕtə
beafe	bəaːfə
beafloss	bəɑflos
beamte	bəɑmtə
beamtebeleidegung	bəɑmtəbəlɑɪdəʑuŋ
beamten	bəɑmtən
beandrock	bəɑndʀok
beandrocke	bəɑndʀokə
beängschtegend	bəæŋʃtəʑənt
beäntwer	bəæntvɐ
beäntwere	bəæntvəʀə
beauté	boːteː
becher	bæɕɐ
béchs	beks
béchse	beksə
béchsefleesch	beksəfleːʃ
béchsen	beksən
béchsenöffner	beksənœfnɐ
bécke	bekə
bécken	bekən
bedauere	bədɑʊəʀə
bedaueren	bədɑʊəʀən
bedauerlech	bədɑʊɐləɕ
bedeite	bədɑɪtə
bedeiten	bədɑɪtən
bedeitend	bədɑɪtənt
bedierfnesser	bədiːɐfnəsɐ
bedrécke	bədʀekə
bedrécken	bədʀekən
bedreckse	bədʀæksə
bedrecksen	bədʀæksən
bedupse	bədupsə
bedupsen	bədupsən
bee	beː
beeme	beːmə
beemen	beːmən
been	beːn
bees	beːs
beesen	beːsən
befriddegend	bəfʀidəʑənt
begaabt	bəgaːpt
begeeschtert	bəgeːʃtɐt
begeeschterung	bəgeːʃtəʀuŋ
begéine	bəgɜɪnə
begéinen	bəgɜɪnən
begleede	bəgleːdə
begleeden	bəgleːdən
begradegen	bəgʀaːdəʑən
begräife	bəgʀæːɪfə
begräifen	bəgʀæːɪfən
begréisse	bəgʀɜɪsə
begréissen	bəgʀɜɪsən
begréissung	bəgʀɜɪsuŋ
begriefnes	bəgʀiəfnəs
begruewe	bəgʀuəvə
begruewen	bəgʀuəvən
behaapte	bəhaːptə
behaapten	bəhaːptən
behandele	bəhɑndələ
behandelen	bəhɑndələn
behenn	bəhæn
behuele	bəhuələ
behuelen	bəhuələn
bei	bɑɪ
béie	bɜɪə
beiekinniginne	bɑɪəkiniginə
béien	bɜɪən
beienee	bɑɪəneː
beieneen	bɑɪəneːn
beienziichterinne	bɑɪəntsiːɕtəʀinə
béier	bɜɪɐ
beiestack	bɑɪəʃtɑk
beifall	bɑɪfɑl
beige	bɛːʃ
beil	bɑɪl
beim	bɑɪm
béis	bɜɪs
beispill	bɑɪʃpil
bejoe	bəjoːə
bejoen	bəjoːən
bekannt	bəkɑnt
bekannte	bəkɑntə
bekannten	bəkɑntən
bekanntschaft	bəkɑntʃɑft
bekäppe	bəkæpə
bekäppen	bəkæpən
bekéierunge	bəkɜɪəʀuŋə
bekloe	bəkloːə
bekloen	bəkloːən
bekucke	bəkukə
bekucken	bəkukən
belagere	bəlaːgəʀə
belageren	bəlaːgəʀən
belästege	bəlæstəʑə
belästegen	bəlæstəʑən
beléie	bəlɜɪə
beléien	bəlɜɪən
belibeg	bəliːbəɕ
beliichte	bəliːɕtə
beliichten	bəliːɕtən
beliichtung	bəliːɕtuŋ
bëlleg	bələɕ
beloune	bələʊnə
belounen	bələʊnən
belounung	bələʊnuŋ
belsch	bælʃ
bemustere	bəmustəʀə
bemusteren	bəmustəʀən
bëndelche	bəndəlɕə
bëndelchen	bəndəlɕən
beneiden	bənɑɪdən
benevol	benevol
bengel	bæŋəl
beniwwelen	bənivələn
benotze	bənotsə
benotzen	bənotsən
benotzerinne	bənotsəʀinə
benotzerrotschlag	bənotsɐʀoːtʃlaːχ
bensin	bænzin
bensinspompel	bænzinspompəl
bensinsstatioun	bænzinsʃtatsjəʊn
berappe	bəʀɑpə
berappen	bəʀɑpən
berechne	bəʀæɕnə
berechnen	bəʀæɕnən
berechnung	bəʀæɕnuŋ
beréiere	bəʀɜɪəʀə
beréieren	bəʀɜɪəʀən
berode	bəʀoːdə
beroden	bəʀoːdən
beroderinne	bəʀoːdəʀinə
berouege	bəʀəʊəʑə
berouegen	bəʀəʊəʑən
berouegungsmëttel	bəʀəʊəʑuŋsmətəl
berri	bæʀiː
beruff	bəʀuf
beruffsgrupp	bəʀufsgʀup
berühmt	bəʀyːmt
besat	bəsaːt
bësch	bəʃ
bëschaarbechterinne	bəʃaːɐbəɕtəʀinə
beschäftegungssommet	bəʃæftəʑuŋssomeː
beschass	bəʃɑs
bescheed	bəʃeːt
bescheide	bəʃɑɪdə
bescheiden	bəʃɑɪdən
bescheinege	bəʃɑɪnəʑə
bescheinegen	bəʃɑɪnəʑən
beschëllege	bəʃələʑə
beschëllegen	bəʃələʑən
beschiedege	bəʃiədəʑə
beschiedegen	bəʃiədəʑən
beschmiere	bəʃmiːɐʀə
beschmieren	bəʃmiːɐʀən
bëschof	bəʃoːf
beschrëftung	bəʃʀəftuŋ
beschreiwe	bəʃʀɑɪvə
beschreiwen	bəʃʀɑɪvən
beschreiwung	bəʃʀɑɪvuŋ
beschte	bæʃtə
beschten	bæʃtən
beschütze	bəʃytsə
beschützen	bəʃytsən
beschwéiere	bəʃwɜɪəʀə
beschwéieren	bəʃwɜɪəʀən
bëschzerstéierung	bəʃtsɐʃtɜɪəʀuŋ
bësele	bəzələ
bëselen	bəzələn
besetze	bəzætsə
besetzen	bəzætsən
besëtzer	bəzətsɐ
besëtzerinne	bəzətsəʀinə
besiche	bəziɕə
besichen	bəziɕən
besoff	bəzof
besoin	bəzwɛ̃ː
besonnesch	bəzonəʃ
bësse	bəsə
bëssen	bəsən
besser	bæsɐ
besserer	bæsəʀɐ
besseres	bæsəʀəs
besserung	bæsəʀuŋ
besserwësserinne	bæsɐvəsəʀinə
bestelle	bəʃtælə
bestellen	bəʃtælən
bestellung	bəʃtæluŋ
bestëmmt	bəʃtəmt
bestierzung	bəʃtiːɐtsuŋ
bestietnes	bəʃtiətnəs
bestoe	bəʃtoːə
bestoen	bəʃtoːən
bestrofe	bəʃtʀoːfə
bestrofen	bəʃtʀoːfən
bestseller	bæstsælɐ
bestuede	bəʃtuədə
bestueden	bəʃtuədən
bestuet	bəʃtuət
besuch	bəzuχ
besuddele	bəzudələ
besuddelen	bəzudələn
betaaschte	bətaːʃtə
betaaschten	bətaːʃtən
bëtong	bətoŋ
betoune	bətəʊnə
betounen	bətəʊnən
betounung	bətəʊnuŋ
betrib	bətʀiːp
bett	bæt
bettduch	bætduχ
bettseecheschzalot	bætzeːʃəʃtsɑloːt
bettspree	bætʃpʀeː
bevëlkere	bəvəlkəʀə
bewäertungssystem	bəvɛːɐtuŋssiːstəm
bewäis	bəvæːɪs
bewässere	bəvæsəʀə
bewässeren	bəvæsəʀən
bewege	bəveːʑə
bewegen	bəveːʑən
beweise	bəvɑɪzə
beweisen	bəvɑɪzən
bewëllege	bəvələʑə
bewëllegen	bəvələʑən
bewonnere	bəvonəʀə
bewonneren	bəvonəʀən
bewonnereswäert	bəvonəʀəsvɛːɐt
bewonnerung	bəvonəʀuŋ
bewosstlosegkeet	bəvostloːzəɕkeːt
bezéiungsproblem	bətsɜɪuŋspʀobleːm
bezuele	bətsuələ
bezuelen	bətsuələn
bibeltext	bibəltækst
biber	biːbɐ
bibliothecairinne	biblioteːkɛːʀinə
bibliothéik	bibliotɜɪk
bic	bik
bich	biɕ
bichelche	biɕəlɕə
bichelchen	biɕəlɕən
bicherbuttek	biɕɐbutek
bicherschaf	biɕɐʃaːf
bidde	bidə
bidden	bidən
biddo	bidoː
bidet	bideː
biede	biədə
bieden	biədən
biegerinitiativ	bieːʑɐinitsjɑtiːf
bier	biːɐ
bierg	biːɐɕ
biergaarbechterinne	biːɐɕaːɐbəɕtəʀinə
bierger	biːɐʑɐ
biergerinne	biːɐʑəʀinə
biergsteigerinne	biːɐɕʃtɑɪʑəʀinə
bierk	biːɐk
biesem	biəzəm
biffdeck	bifdæk
bigoudi	bigudiː
biischt	biːʃt
bijou	biʒuː
bijouterie	biʒutəʀiː
bild	bilt
bildungschaos	bilduŋskaːos
bille	bilə
billen	bilən
biller	bilɐ
billerbuch	bilɐbuχ
billjee	biljeː
bir	biːɐ
birele	biːʀələ
birelen	biːʀələn
bis	bis
bistro	bistʀoː
bitze	bitsə
bitzen	bitsən
bitzmaschinne	bitsmɑʃinə
biz	biːts
bläi	blæːɪ
bläistëft	blæːɪʃtəft
bläizaldot	blæːɪtsɑldoːt
blaméiere	blɑmɜɪəʀə
blaméieren	blɑmɜɪəʀən
blann	blɑn
bläre	blɛːʀə
blären	blɛːʀən
blat	blaːt
blatzeg	blɑtsəɕ
blech	blæɕ
bléck	blek
bleech	bleːɕ
bléi	blɜɪ
bléie	blɜɪə
bléien	blɜɪən
bléimele	bleːimələ
bléimelen	bleːimələn
bleiwe	blɑɪvə
bleiwen	blɑɪvən
blénke	bleŋkə
blénken	bleŋkən
bless	blæs
blesséiere	blæsɜɪəʀə
blesséieren	blæsɜɪəʀən
blesséierte	blæsɜɪɐtə
blesséierten	blæsɜɪɐtən
blëtz	bləts
blëtze	blətsə
blëtzen	blətsən
blo	bloː
block	blok
blöd	bløːt
bloder	bloːdɐ
bloelzeg	bloːəltsəɕ
blond	blont
blos	bloːs
blose	bloːzə
blosen	bloːzən
blouse	bluːs
bludde	bludə
bludden	bludən
bluddung	bluduŋ
blumm	blum
blummebeet	bluməbeːt
blummebuttek	bluməbutek
blummendëppe	bluməndəpə
blummendëppen	bluməndəpən
blus	bluːs
blutt	blut
bluttaarmutt	bludaːɐmut
bluttdrock	blutdʀok
bobine	bobin
bobinne	bobinə
bockel	bokəl
bockeleg	bokələɕ
bockeleges	bokəlegəs
bocksprange	bokʃpʀɑŋə
bocksprangen	bokʃpʀɑŋən
bokal	bokaːl
boll	bol
bols	bols
boma	boːmaː
bomen	boːmən
bomercher	boːmɐɕɐ
bomi	boːmi
bomien	boːmiːən
bomm	bom
bompele	bompələ
bompelen	bompələn
bon	bɑ̃ː
bongert	boŋɐt
boni	boːni
bonjour	bɑ̃ːʒuːɐ
bonsoir	bɑ̃ːswaːʀ
bonusse	boːnusə
bonzele	bontsələ
bonzelen	bontsələn
boot	boːt
bopa	boːpaː
bor	boːʀ
bord	bɔːʀ
bordüre	bɔʀdyːʀ
borem	boːʀəm
bosnesch	bosnəʃ
bosseg	bosəɕ
botanikerinne	botaːnikəʀinə
botte	bot
botter	botɐ
botz	bots
botze	botsə
botzen	botsən
botzerei	botsəʀɑɪ
botzfra	botsfʀaː
bou	bəʊ
bouaker	bəʊaːkɐ
bouf	bəʊf
bougie	buʒiː
boule	bul
boulette	bulæt
boun	bəʊn
bouquet	bukeː
bouschéisse	bəʊʃɜɪsə
bouschéissen	bəʊʃɜɪsən
bouss	bəʊs
boutique	butik
boutiquë	butikə
box	boks
boxe	boksə
boxen	boksən
boxerinne	boksəʀinə
boycott	boɪkot
braavst	bʀaːfst
braderië	bʀɑdeʀiːə
braderieen	bʀɑdeʀiːən
bräiläffel	bʀæːɪlæfəl
bräitchemann	bʀæːɪtɕemɑn
brak	bʀaːk
brand	bʀɑnt
brandwonn	bʀɑntvon
branntewäin	bʀɑntəvæːɪn
brasseli	bʀɑsəli
bratzele	bʀɑtsəle
bratzelen	bʀɑtsəlen
brauch	bʀæːʊχ
brauche	bʀæːʊχə
brauchen	bʀæːʊχən
brauereisecteur	bʀɑʊəʀɑɪsæktœːʀ
brauereispäerd	bʀɑʊəʀɑɪspɛːɐt
braumeeschterinne	bʀæːʊmeːʃtəʀinə
braut	bʀæːʊt
brautrank	bʀæːʊtʀɑŋk
brav	bʀaːf
braven	bʀaːvən
braver	bʀaːvɐ
bravo	bʀaːvoː
bréck	bʀek
breet	bʀeːt
bréie	bʀɜɪə
bréien	bʀɜɪən
bréif	bʀɜɪf
bréifboîte	bʀɜɪfbwɑt
bréifdréier	bʀɜɪfdʀɜɪɐ
bréifkëscht	bʀɜɪfkəʃt
bréitche	bʀɜɪtɕə
bréitchen	bʀɜɪtɕən
brëll	bʀəl
brëlle	bʀələ
brëllen	bʀələn
brems	bʀæms
bremse	bʀæmzə
bremsen	bʀæmzən
brénge	bʀeŋə
bréngen	bʀeŋən
brenne	bʀænə
brennen	bʀænən
bretelle	bʀətæl
bretonesch	bʀətoːnəʃ
bretze	bʀætsə
bretzeg	bʀætsəɕ
bretzen	bʀætsən
brieche	bʀiəɕə
briechen	bʀiəɕən
briet	bʀiət
briquet	bʀikeː
britt	bʀit
brockelche	bʀokəlɕə
brockelchen	bʀokəlɕən
brode	bʀoːdə
brodéiere	bʀodɜɪəʀə
brodéieren	bʀodɜɪəʀən
broden	bʀoːdən
bromä	bʀomɛː
brong	bʀoŋ
bronkeg	bʀoŋkəɕ
bronz	bʀɑ̃ːs
brooch	bʀoːχ
brooche	bʀoːχə
broochen	bʀoːχən
broscht	bʀoʃt
broschür	bʀoʃyʀ
brot	bʀoːt
brout	bʀəʊt
broutmaschinn	bʀəʊtmɑʃin
brudder	bʀudɐ
brüsk	bʀysk
brutal	bʀutaːl
brutsche	bʀutʃə
brutschen	bʀutʃən
buch	buχ
bucht	buχt
bud	buːt
bude	buːdə
buden	buːdən
budget	bydʒeː
budgetsministerinne	bydʒeːministəʀinə
buedbidde	buətbidə
buedbidden	buətbidən
buede	buədə
buedem	buədəm
bueden	buədən
buedzëmmer	buəttsəmɐ
buedzëmmerschaf	buəttsəmɐʃaːf
buerbes	buːɐbəs
buere	buəʀə
bueren	buəʀən
buerfouss	buːɐfəʊs
buerg	buːɐɕ
buergermeeschter	buəʑɐmeːʃtɐ
buergermeeschterinne	buːɐʑɐmeːʃtəʀinə
buermaschinn	buːɐmɑʃin
buermaschinne	buːɐmɑʃinə
buffet	byfeː
bull	bul
bulli	buli
bullong	buloŋ
bün	byːn
büneshow	byːnəʃəuw
bur	buːʀ
bureau	byʀoː
büro	byʀoː
bürokratesch	byʀoːkʀaːtəʃ
bürosklamer	byʀoːsklaːmɐ
bus	bus
busbilljee	busbiljeː
buschauffer	busʃoːfɐ
buschtaf	buʃtaːf
buschtawéiere	buʃtaːvɜɪəʀə
buschtawéieren	buʃtaːvɜɪəʀən
buslinne	buslinə
bussar	busaːʀ
buttek	butek
butteker	butekɐ
butteksfënster	buteksfənstɐ
butzeg	butsəɕ
cabillaud	kɑbiʒoː
cabine	kɑbin
cabinet	kɑbineː
cabinetspabeier	kɑbineːspɑbɑɪɐ
cabinne	kɑbinə
cadeau	kɑdoː
café	kɑfeː
caissier	keːsjeː
caissière	kæsiɛːʀ
calepin	kɑlpɛ̃ː
camion	kɑmjɑ̃ː
camionette	kɑmjonæt
camionschauffer	kɑmjɑ̃ːsʃoːfɐ
campagne	kɑ̃ːmpɑɲ
campagnë	kɑ̃ːmpɑɲə
campagnen	kɑ̃ːmpɑɲən
campéiere	kæmpɜɪəʀə
campéieren	kæmpɜɪəʀən
canapé	kɑnɑpeː
cantonnier	kɑntonjeː
capot	kɑpoː
cartouche	kɑʀtuʃ
casserole	kɑsəʀol
cassette	kɑsæt
cauchemar	koːʃmaːʀ
cd	tseːdeː
cendrier	sɑ̃ːdʀijeː
chaiselongue	ʃɛːzlɑ̃ːg
chalumeau	ʃɑlymoː
chamberpresidentinne	ʃɑ̃ːmbɐpʀezidæntinə
chamberspresidentinne	ʃɑ̃ːmbɐspʀezidæntinə
champignon	ʃɑ̃ːpiɲɑ̃ː
champion	ʃɑ̃ːpjɑ̃ː
chance	ʃɑ̃ːs
change	ʃɑ̃ːʃ
changéiere	ʃɑ̃ːʒɜɪəʀə
changéieren	ʃɑ̃ːʒɜɪəʀən
chantier	ʃɑ̃ːtjeː
chantieren	ʃɑ̃ːtjeːən
chaotinne	ʃaoːtinə
charmant	ʃɑʀmɑnt
charme	ʃaːʀm
chaudière	ʃoːdjɛːʀ
chauffer	ʃoːfɐ
chef	ʃæf
cheffinne	ʃæfinə
chemesch	ʃeːməʃ
cheminee	ʃmineː
chic	ʃik
chimie	ʃimiː
chinesesch	ʃineːzəʃ
chips	ʃips
chirurginne	ɕiʀuʀʑinə
choix	ʃwɑ
cholerikerinne	koːleːʀikəʀinə
cholesterol	koːlæsteʀol
choufleur	ʃuflœːʀ
chrëschtbeemche	kʀəʃtbeːmɕə
chrëschtbeemchen	kʀəʃtbeːmɕən
chrëschtdag	kʀəʃtdaːχ
chrëschtinne	kʀəʃtinə
chrëschtmaart	kʀəʃtmaːʀt
claude	kloːdə
clementine	kləmɑ̃ːtin
client	kliɑ̃ː
clientèle	kliɑ̃ːtæl
clinique	klinik
clôture	kloːtyːʀ
clown	kloːn
cns	tseːænæs
coiffer	kwɑfɐ
col	kol
collant	kolɑ̃ː
colle	kol
commissairinne	komisɛːʀinə
commissioun	komisjəʊn
communiqué	komynikeː
comptabel	kɑ̃ːtaːbəl
computer	kompjuːtɐ
concert	kɑ̃ːsɛːʀ
concierge	kɑ̃ːsjɛːʀʃ
conciergë	kɑ̃ːsjɛːʀʒə
conciergen	kɑ̃ːsjɛːʀʒən
concours	kɑ̃ːkuːɐ
congé	kɑ̃ːʒeː
contraire	kɑ̃ːtʀɛːʀ
cool	kuːl
copie	kopiː
cornichon	kɔʀniʃɑ̃ː
cortège	kɔʀtɛːʃ
costume	kostym
côte	koːt
coton	kotɑ̃ː
couchen	kuɕən
courage	kuʀaːʃ
couragéiert	kuʀɑʒɜɪɐt
courrier	kuʀjeː
cours	kuːɐ
course	kuʀs
coursemaschinn	kuʀsmɑʃin
coursen	kuːəʀən
coursse	kuʀsə
courssen	kuʀsən
cousin	kuzɛ̃ː
cousine	kuzin
coussin	kusɛ̃ː
couverte	kuvɛːʀə
couverten	kuvɛːʀən
cravate	kʀɑvɑt
crème	kʀɛːm
crevette	kʀəvæt
cric	kʀik
cricket	kʀikeː
croissant	kʀwɑsɑ̃ː
d	d̥
da	dɑ
daach	daːχ
daachdeckerinne	daːχdækəʀinə
daarm	daːɐm
dabo	daːboː
daccord	dɑkɔːʀ
dach	dɑχ
dachs	dɑks
dacks	dɑks
dactylo	dɑktiloː
däerfe	dɛːɐfə
däerfen	dɛːɐfən
daf	daːf
dafstomm	daːfʃtom
dag	daːχ
dagdeeglech	daːχdeːɕləɕ
dagesausflich	daːʒəsæːʊsfliɕ
dagesfahrt	daːʒəsfaːʀt
daierlech	dɑɪɐləɕ
däin	dæːɪn
däischter	dæːɪʃtɐ
däischtert	dæːɪʃtɐt
däitlech	dæːɪtləɕ
däitlechkeet	dæːɪtləɕkeːt
däitsch	dæːɪtʃ
däitschland	dæːɪtʃlɑnt
däiwel	dæːɪvəl
däiwelspakt	dæːɪvəlspɑkt
dall	dɑl
dame	dɑm
damp	dɑmp
dämpe	dæmpə
dämpen	dæmpən
dänesch	dɛːnəʃ
dann	dɑn
dännebam	dænəbaːm
dännebësch	dænəbəʃ
danz	dɑnts
danze	dɑntsə
danzen	dɑntsən
dänzer	dæntsɐ
dänzerin	dæntsəʀin
dänzerinne	dæntsəʀinə
daper	daːpɐ
dar	daːʀ
därbaants	dɛːɐbaːnts
däreldéier	dɛːɐəldɜɪɐ
dat	daːt
datselwecht	daːtzælvəɕt
datt	dɑt
dattel	dɑtəl
datum	daːtum
datz	dɑts
dauche	dæːʊχə
dauchen	dæːʊχən
dauer	dɑʊɐ
dauere	dɑʊəʀə
daueren	dɑʊəʀən
dauf	dɑʊf
daum	dɑʊm
dausend	dɑʊzənt
david	daːvit
de	də
débarras	deːbɑʀaː
deboiséieren	debwɑzɜɪəʀən
debrouilléier	debʀujɜɪɐ
débrouilléiere	debʀujɜɪəʀə
debrouilléieren	dəbʀujɜɪəʀən
debutant	deːbytɑnt
decalage	deːkɑlaːʃ
dech	dəɕ
decharge	dəʃɑʀʃ
décidéiere	deːsidɜɪəʀə
décidéieren	deːsidɜɪəʀən
déck	dek
decke	dækə
deckel	dækəl
decken	dækən
déckflësseg	dekfləsəɕ
déckkäppeg	dekkæpəɕ
declaratioun	deklɑʀatsjəʊn
déclaréiere	deklɑʀɜɪəʀə
déclaréieren	deklɑʀɜɪəʀən
décor	dekɔːʀ
dee	deː
deefe	deːfə
deefen	deːfən
deeg	deːɕ
deeglaang	deːɕlaːŋ
deeglech	deːɕləɕ
deegwuere	deːɕvuːɐʀə
deegwueren	deːɕvuːɐʀən
deel	deːl
deele	deːlə
deelen	deːlən
deelhuele	deːlhuələ
deelhuelen	deːlhuələn
deelweis	deːlvɑɪs
deemno	deːmnoː
deemools	deːmoːls
deen	deːn
deeselwechte	deːzælvəɕtə
deeselwechten	deːzælvəɕtən
déforméiere	defɔʀmɜɪəʀə
déforméieren	defɔʀmɜɪəʀən
defouléiert	dəfulɜɪɐt
déi	dɜɪ
déide	dɜɪdə
déiden	dɜɪdən
deier	dɑɪɐ
déier	dɜɪɐ
déieregaart	dɜɪəʀəgaːʀt
déif	dɜɪf
déift	dɜɪft
déischen	dɜɪsjən
déiselwecht	dɜɪzælvəɕt
déiwin	dɜɪvin
dekret	dəkʀeːt
delegatioun	delegatsjəʊn
delikt	delikt
dëlpessen	dəlpəsən
delphin	dælfiːn
delta	dæltaː
demande	dəmɑ̃ːt
demandë	dəmɑ̃ːtə
demanden	dəmɑ̃ːtən
demandeur	dəmɑ̃ːdœːʀ
demandeuren	dəmɑ̃ːdœːʀən
demaskéier	demɑskɜɪɐ
dementi	dəmæntiː
démodéiert	demodɜɪɐt
demographeschen	demogʀaːfəʃən
demographie	demogʀaːfiː
demonstrant	demonstʀɑnt
demonstrante	demonstʀɑntə
demonstranten	demonstʀɑntən
dëmpe	dəmpə
dëmpen	dəmpən
den	dən
dénger	deŋɐ
déngscht	deŋʃt
denke	dæŋkə
denken	dæŋkən
denkmal	dæŋkmaːl
dënn	dən
dënschdeg	dənʃdəɕ
dënschdege	dənʃdəʑə
dënschdegen	dənʃdəʑən
dënschdes	dənʃdəs
dépanneuse	depɑnøːs
départ	depaːʀ
depassement	dəpɑsəmɑ̃ː
depassemente	dəpɑsəmɑ̃ːə
depassementen	dəpɑsəmɑ̃ːən
dëppe	dəpə
dëppen	dəpən
der	dɐ
derangement	dəʀɑ̃ːʒəmænt
derangementer	dəʀɑ̃ːʒəmæntɐ
derbäi	dɐbæːɪ
dergéint	dɐgɜɪnt
derhannert	dɐhɑnɐt
dermat	dɐmɑt
dernieft	dɐniəft
deroutéier	deʀutɜɪɐ
dervun	dɐfun
derwidder	dɐvidɐ
dës	dəs
desaffectéiert	dezɑfæktɜɪɐt
désagréabel	dezɑgʀeaːbəl
descente	desɑ̃ːt
dësch	dəʃ
dëschelduch	dəʃəlduχ
dëschtel	dəʃtəl
dëse	dəzə
dësen	dəzən
dëslescht	dəslæʃt
dessert	dəsɛːʀ
dëst	dəst
destabiliséieren	destɑbilizɜɪəʀən
desto	dæstoː
detachéiers	detɑʃɜɪɐs
detail	detɑj
detailer	detɑjlɐ
detektivinne	detæktiːvinə
developpementer	dəvəlopəmæntɐ
dezember	detsæmbɐ
dezent	detsænt
dezibel	detsibæl
diagnos	diagnoːs
diagnose	diagnoːzə
diagnostizéieren	diagnostitsɜɪəʀən
dialog	diaːloːχ
dicher	diɕɐ
dicht	diɕt
dichteg	diɕtəɕ
dichterinne	diɕtəʀinə
dichtung	diɕtuŋ
dictée	dikteː
dictéeën	dikteːən
dictionnaire	diksjoːnɛːʀ
die	diə
diebele	diəbələ
diebelen	diəbələn
diedege	diədəʑə
diedegen	diədəʑən
dien	diən
dier	diːɐ
dierfe	diːɐfə
dierfen	diːɐfən
dierwiechterinne	diːɐviəɕtəʀinə
dierze	diːɐtsə
dierzen	diːɐtsən
diesel	diːzəl
diffamatoresch	difɑmɑtoːʀəʃ
